model,n,f1_best_mean,f1_best_std,pr_auc_mean,pr_auc_std,auroc_mean,auroc_std,mcc_best_mean,mcc_best_std,top5_mean,top5_std,top10_mean,top10_std,family
MLC + PS + no graph,3,0.7311374035013908,0.0018583606935534355,0.8155498315699458,0.0032991687729377783,0.8636932211039502,0.0011978223461954055,0.5650241584819231,0.0048525824296340725,0.8820344094865995,0.0048123817843654425,0.8540643855638422,0.0032807223658167317,mlc
MLC + PS + contact,3,0.7309258094864338,0.0011469213490727388,0.8208400106379649,0.0030031321430872594,0.8659869919669364,0.0021031736285948887,0.5704398449226367,0.0038112777583831233,0.8857171343291023,0.0037613070978687667,0.8584304613424277,0.0026527532054953424,mlc
MLC + PS + contact weak-reg,1,0.7281709455775407,0.0,0.8148153009203732,0.0,0.8621664226300276,0.0,0.5617699591751742,0.0,0.8897051950722524,0.0,0.8593018026458794,0.0,mlc
MLC + no scalar + contact,3,0.7266687031609879,0.002519355247888548,0.8125556655634191,0.005013369048342325,0.8623744702570628,0.004767262191354008,0.5624220296419192,0.005428315315236464,0.8832183650197222,0.004389026013589538,0.8534616297517771,0.004247802613424777,mlc
Final + PS + contact,3,0.7106236539328169,0.0012696818117648415,0.7961479404754712,0.0013989045515545215,0.8506857787059621,0.001882325121706081,0.5282233398606213,0.0016152163700000944,0.8733167579558696,0.004434345180574851,0.8418312533573187,0.002378025250544395,final
Final + no scalar + contact,3,0.7086908384460889,0.002706927098039942,0.781214288640798,0.003135746338183317,0.8452635594719715,0.0012602427004850451,0.5234904180228465,0.003411784596175094,0.8543360813564391,0.010118303521026762,0.817867805968844,0.004521554996446519,final
Final + PS no-context,2,0.7083017949508429,0.0023039065911448775,0.7902805222223793,0.0012319975103801672,0.8465373528719331,0.0010084978924587151,0.5252524263972056,0.0036056673895216718,0.8774325612696988,0.00587927392369092,0.8419218228834838,0.0025390698197353956,final
Final + no scalar no-context,3,0.7056184685440295,0.0009395590317278612,0.7688365967565273,0.0038518584387400292,0.8407689894543127,0.0008880991536617765,0.5177649934258679,0.00607769149745109,0.850746826687604,0.002853561380898244,0.8165717248185487,0.004692221942925533,final
Final + PS + context no graph,1,0.7029910601900368,0.0,0.785861143325039,0.0,0.8427662270798646,0.0,0.5192869137386854,0.0,0.8712541827902717,0.0,0.8310347412210022,0.0,star
